time,surface_pressure (hPa),soil_moisture_0_to_7cm (m³/m³),et0_fao_evapotranspiration (mm),rain (mm),windspeed_10m (km/h),relativehumidity_2m (%),temperature_2m (°C),soil_temperature_0_to_7cm (°C),cloudcover (%),shortwave_radiation (W/m²),weathercode (wmo code),crop,stageOfGrowth,Kc,irrigation
2011-12-31,1000.61,0.38,1.14,0.1,7.43,73.62,7.07,7.37,16.08,2335.0,51,Cucumber,CropDevStage,0.7,1
2012-01-01,1008.02,0.37,1.04,0.0,4.27,70.92,7.42,6.41,0.08,2317.0,0,Grain,InitialStage,0.35,1
2012-01-02,1009.14,0.36,0.8,1.1,8.31,82.04,9.71,8.28,68.25,1179.0,0,Carrot,InitialStage,0.45,1
2012-01-03,1006.6,0.41,0.63,10.3,8.72,88.88,11.56,10.68,65.12,1095.0,53,Bean,LateSeasonStage,0.9,0
2012-01-04,1005.24,0.4,0.77,1.8,6.3,89.79,9.98,10.22,59.04,1569.0,0,Cucumber,CropDevStage,0.7,1
2012-01-05,995.34,0.41,0.94,3.4,12.34,87.25,10.49,10.52,86.33,1408.0,51,Barley,InitialStage,0.35,0
2012-01-06,983.44,0.4,1.68,0.8,14.8,63.88,9.65,10.26,42.12,2081.0,3,Grain,InitialStage,0.35,1
2012-01-07,999.82,0.38,2.01,0.0,11.38,48.12,8.73,8.84,4.29,2442.0,1,Barley,MidSeasonStage,1.15,2
2012-01-08,1000.39,0.38,1.24,0.0,5.3,67.88,7.58,6.91,11.5,2492.0,0,Bean,LateSeasonStage,0.9,1
2012-01-09,1005.58,0.37,1.38,0.0,10.32,65.79,7.57,7.78,15.12,2221.0,0,Cucumber,LateSeasonStage,0.75,1
2012-01-10,1011.08,0.36,1.15,0.0,5.59,68.62,7.65,7.93,19.42,2430.0,0,Carrot,LateSeasonStage,0.9,1
2012-01-11,1013.98,0.36,1.26,0.0,7.56,69.12,7.47,7.05,1.83,2408.0,0,Grain,MidSeasonStage,1.1,1
2012-01-12,1014.09,0.36,1.18,0.0,5.18,78.46,7.34,6.75,0.88,2524.0,0,Grain,CropDevStage,0.75,1
2012-01-13,1006.5,0.35,0.92,0.0,8.0,79.79,9.46,7.88,55.33,1613.0,0,Cotton,InitialStage,0.45,1
2012-01-14,1002.21,0.35,1.59,0.0,12.41,60.08,8.43,8.7,38.88,1433.0,2,Eggplant,CropDevStage,0.75,1
2012-01-15,1003.19,0.35,1.67,0.0,12.04,55.96,6.01,7.08,2.79,2589.0,0,Grain,InitialStage,0.35,1
2012-01-16,1005.59,0.34,1.57,0.0,14.05,55.88,4.65,6.2,2.83,2635.0,0,Barley,CropDevStage,0.75,1
2012-01-17,1010.87,0.34,1.22,0.0,7.88,64.04,4.3,5.55,4.08,2547.0,0,Cabbage,LateSeasonStage,0.9,1
2012-01-18,1015.43,0.33,1.14,0.0,4.98,71.17,4.98,4.77,0.04,2655.0,0,Cotton,LateSeasonStage,0.75,1
2012-01-19,1016.65,0.33,1.29,0.0,7.78,77.62,7.63,6.13,30.58,2616.0,0,Cotton,InitialStage,0.45,1
2012-01-20,1004.12,0.35,0.77,3.8,13.69,80.92,10.72,9.4,87.62,701.0,3,Bean,CropDevStage,0.7,0
2012-01-21,1000.76,0.35,1.08,0.0,4.72,84.04,8.93,8.66,36.29,2486.0,3,Lettuce,MidSeasonStage,1.0,1
2012-01-22,1000.3,0.35,0.95,0.1,3.97,85.83,9.73,7.87,40.5,1938.0,0,Cucumber,MidSeasonStage,0.9,1
2012-01-23,998.88,0.34,1.07,0.0,5.04,85.92,9.1,8.68,33.75,2216.0,1,Carrot,MidSeasonStage,1.05,1
2012-01-24,995.95,0.34,1.1,2.6,6.91,82.88,9.49,9.56,45.62,2053.0,1,Lentil,InitialStage,0.45,0
2012-01-25,998.62,0.34,1.69,0.0,11.03,55.0,6.41,7.71,4.42,2694.0,0,Cabbage,CropDevStage,0.75,1
2012-01-26,1002.24,0.33,1.66,0.0,6.39,54.46,5.05,5.9,0.17,3023.0,0,Bean,MidSeasonStage,1.1,2
2012-01-27,1007.78,0.33,1.42,0.0,6.81,68.62,4.77,5.0,8.54,2992.0,0,Carrot,InitialStage,0.45,1
2012-01-28,1007.55,0.32,1.27,0.0,8.91,69.58,6.54,6.58,46.33,2369.0,1,Barley,CropDevStage,0.75,1
2012-01-29,1001.93,0.32,1.51,0.0,13.33,66.75,6.83,7.44,40.96,2439.0,3,Lentil,CropDevStage,0.75,1
2012-01-30,1000.19,0.32,1.49,0.0,19.2,74.12,7.45,7.97,52.21,2302.0,0,Grain,MidSeasonStage,1.1,2
2012-01-31,1001.15,0.32,1.1,3.2,8.17,74.04,7.06,8.05,75.83,2068.0,2,Cotton,MidSeasonStage,1.15,0
2012-02-01,991.75,0.42,0.65,30.7,13.72,83.96,6.99,7.58,87.12,1223.0,53,Eggplant,InitialStage,0.45,0
2012-02-02,994.52,0.41,0.86,7.8,10.05,83.67,5.78,6.71,94.62,1603.0,2,Cucumber,InitialStage,0.45,0
2012-02-03,991.55,0.43,0.45,38.3,20.19,86.42,3.62,5.36,100.0,443.0,61,Grain,MidSeasonStage,1.1,0
2012-02-04,996.69,0.41,0.86,1.7,11.85,74.38,4.09,5.26,94.54,1627.0,71,Eggplant,CropDevStage,0.75,1
2012-02-05,1001.55,0.41,1.22,2.4,15.39,72.75,4.19,5.27,78.62,2428.0,2,Cucumber,MidSeasonStage,0.9,1
2012-02-06,992.18,0.4,1.36,0.7,16.87,63.04,2.99,4.83,81.46,2051.0,3,Barley,InitialStage,0.35,1
2012-02-07,987.8,0.39,0.87,0.9,11.87,69.08,1.84,3.89,88.25,1199.0,73,Lettuce,CropDevStage,0.6,1
2012-02-08,998.19,0.4,1.29,0.3,17.14,66.17,3.76,4.52,80.0,1233.0,3,Bean,InitialStage,0.35,1
2012-02-09,1002.42,0.39,1.62,0.0,10.72,61.96,4.41,5.43,33.29,3412.0,3,Lettuce,InitialStage,0.45,1
2012-02-10,995.92,0.41,0.7,10.5,12.44,79.12,4.27,4.97,90.75,1369.0,3,Cotton,InitialStage,0.45,0
2012-02-11,997.72,0.42,0.88,10.5,7.97,75.58,5.55,6.0,81.96,2232.0,51,Eggplant,MidSeasonStage,1.15,0
2012-02-12,999.11,0.42,1.11,4.2,7.72,80.88,4.04,5.63,61.79,2821.0,51,Cabbage,InitialStage,0.45,0
2012-02-13,999.76,0.4,1.42,0.0,8.84,68.62,3.64,5.22,36.96,3410.0,1,Cabbage,MidSeasonStage,1.05,1
2012-02-14,997.2,0.4,1.49,1.6,11.92,66.04,2.8,4.39,40.0,3304.0,51,Cucumber,MidSeasonStage,0.9,1
2012-02-15,997.82,0.39,1.59,0.0,9.9,66.0,4.5,4.71,39.67,3435.0,0,Lentil,LateSeasonStage,0.5,1
2012-02-16,998.2,0.38,1.87,0.0,9.21,63.21,5.98,6.12,7.54,3673.0,1,Cucumber,MidSeasonStage,0.9,2
2012-02-17,1007.61,0.37,1.78,0.0,6.93,64.79,5.86,5.9,13.79,3607.0,0,Carrot,InitialStage,0.45,1
2012-02-18,1007.65,0.37,1.53,0.4,5.78,82.29,7.12,6.51,35.92,3157.0,0,Cabbage,InitialStage,0.45,1
2012-02-19,1006.95,0.38,1.26,3.7,7.12,80.67,9.02,7.93,64.92,2430.0,51,Grain,MidSeasonStage,1.1,0
2012-02-20,1007.12,0.42,1.26,12.4,8.05,88.0,8.69,8.72,70.42,2877.0,53,Cucumber,LateSeasonStage,0.75,0
2012-02-21,1007.8,0.4,1.92,1.2,13.7,79.21,8.87,9.33,68.62,3593.0,2,Eggplant,InitialStage,0.45,1
2012-02-22,1002.64,0.39,2.07,0.4,26.25,72.21,9.65,9.82,72.08,2934.0,2,Cotton,CropDevStage,0.75,2
2012-02-23,1005.23,0.38,2.19,0.0,14.75,71.08,10.02,10.15,20.96,3559.0,2,Cotton,CropDevStage,0.75,2
2012-02-24,1009.53,0.37,2.06,0.0,4.92,81.96,9.75,9.33,0.12,4088.0,0,Cucumber,MidSeasonStage,0.9,2
2012-02-25,1005.6,0.37,1.74,0.0,4.66,87.5,10.75,9.38,33.83,3608.0,0,Eggplant,LateSeasonStage,0.8,1
2012-02-26,996.03,0.36,1.72,2.1,8.26,81.67,10.09,10.08,62.0,3456.0,1,Barley,InitialStage,0.35,1
2012-02-27,1001.72,0.36,3.0,0.0,15.25,45.96,7.57,8.85,4.08,4421.0,0,Bean,MidSeasonStage,1.1,3
2012-02-28,1007.0,0.35,2.27,0.0,7.36,62.33,7.13,8.05,25.25,4242.0,1,Bean,CropDevStage,0.7,2
2012-02-29,1003.32,0.35,2.18,0.0,6.76,80.67,9.57,9.23,4.08,4320.0,0,Barley,InitialStage,0.35,1
2012-03-01,1006.16,0.34,2.43,0.0,5.52,76.29,11.18,10.1,7.46,4464.0,1,Eggplant,LateSeasonStage,0.8,2
2012-03-02,1010.52,0.34,2.19,0.0,4.67,87.71,11.19,10.82,28.67,4467.0,0,Carrot,LateSeasonStage,0.9,2
2012-03-03,1009.32,0.33,1.38,0.0,5.8,86.58,10.83,11.35,72.62,2712.0,2,Lentil,InitialStage,0.45,1
2012-03-04,1004.98,0.33,1.4,0.0,4.38,82.5,10.45,11.12,68.5,2611.0,3,Cabbage,MidSeasonStage,1.05,1
2012-03-05,999.94,0.34,1.98,2.5,5.16,86.25,9.98,11.12,48.96,4187.0,2,Carrot,CropDevStage,0.75,1
2012-03-06,1001.65,0.39,1.84,5.0,6.71,72.25,9.62,10.56,57.83,3774.0,51,Eggplant,CropDevStage,0.75,0
2012-03-07,1005.36,0.36,1.95,0.0,10.62,71.62,8.31,9.12,61.12,3189.0,0,Carrot,LateSeasonStage,0.9,2
2012-03-08,1000.29,0.37,1.81,4.2,16.59,73.92,8.83,9.49,53.17,3172.0,1,Lentil,LateSeasonStage,0.5,0
2012-03-09,1007.85,0.36,2.34,0.0,17.75,69.46,9.23,10.01,18.58,4097.0,1,Bean,InitialStage,0.35,1
2012-03-10,1006.12,0.35,2.81,0.0,26.13,59.62,9.69,10.22,59.58,2535.0,1,Cotton,MidSeasonStage,1.15,3
2012-03-11,999.69,0.34,3.36,0.0,14.16,58.12,9.74,10.48,14.42,4997.0,1,Bean,LateSeasonStage,0.9,3
2012-03-12,1001.43,0.33,3.22,0.0,13.68,54.12,10.3,10.09,11.0,4615.0,0,Lettuce,InitialStage,0.45,1
2012-03-13,1006.34,0.32,2.16,0.2,6.77,67.83,10.97,10.93,42.5,3548.0,1,Cabbage,CropDevStage,0.75,2
2012-03-14,1009.89,0.32,2.49,0.0,5.25,76.92,10.26,10.75,7.25,4780.0,0,Cucumber,LateSeasonStage,0.75,2
2012-03-15,1012.34,0.32,2.63,0.0,5.01,87.12,10.93,11.07,2.42,5285.0,0,Grain,LateSeasonStage,0.65,2
2012-03-16,1014.56,0.31,2.52,0.0,4.1,86.33,11.17,11.6,24.96,5151.0,1,Cucumber,CropDevStage,0.7,2
2012-03-17,1014.39,0.31,2.52,0.0,5.04,83.92,10.52,11.6,25.58,5004.0,1,Cucumber,CropDevStage,0.7,2
2012-03-18,1011.8,0.3,2.92,0.0,6.75,74.62,11.62,11.84,10.67,5349.0,0,Grain,MidSeasonStage,1.1,3
2012-03-19,1011.84,0.3,2.67,0.0,6.29,75.75,12.89,12.9,10.04,5025.0,1,Lentil,MidSeasonStage,1.1,2
2012-03-20,1014.39,0.29,2.96,0.0,4.26,80.33,12.64,12.68,21.12,5251.0,1,Eggplant,MidSeasonStage,1.15,3
2012-03-21,1015.25,0.29,3.11,0.0,5.64,78.71,13.47,13.45,46.17,5334.0,1,Cabbage,CropDevStage,0.75,2
2012-03-22,1013.42,0.28,2.81,0.0,4.55,79.21,13.78,13.48,50.71,4751.0,2,Bean,MidSeasonStage,1.1,3
2012-03-23,1010.99,0.28,3.1,0.0,4.38,73.67,14.11,13.84,48.25,5231.0,2,Barley,MidSeasonStage,1.15,3
2012-03-24,1006.78,0.27,2.93,0.0,4.45,71.79,13.97,13.68,40.71,4896.0,1,Cucumber,CropDevStage,0.7,2
2012-03-25,1005.95,0.27,3.04,0.7,5.3,76.67,13.12,13.98,25.75,5276.0,1,Carrot,LateSeasonStage,0.9,2
2012-03-26,1007.91,0.27,3.58,0.0,8.33,63.17,13.93,14.09,1.92,5812.0,0,Eggplant,InitialStage,0.45,2
2012-03-27,1008.78,0.26,3.77,0.0,7.88,59.96,13.63,14.47,0.21,6054.0,0,Cucumber,MidSeasonStage,0.9,3
2012-03-28,1007.49,0.26,3.57,0.0,5.95,67.29,13.26,13.74,0.0,6025.0,0,Grain,InitialStage,0.35,1
2012-03-29,1003.92,0.25,3.26,0.0,5.93,77.75,13.18,13.5,3.92,6067.0,0,Grain,InitialStage,0.35,1
2012-03-30,997.69,0.25,2.9,0.0,7.4,82.54,12.92,13.81,33.29,5644.0,1,Cabbage,InitialStage,0.45,1
2012-03-31,995.32,0.24,2.95,0.0,7.28,85.46,12.68,13.97,21.46,5816.0,0,Lentil,MidSeasonStage,1.1,3
2012-04-01,993.85,0.24,2.17,0.1,8.25,81.83,13.69,14.36,59.0,3762.0,1,Cotton,InitialStage,0.45,1
2012-04-02,997.41,0.24,3.0,0.4,8.25,75.54,13.71,14.85,46.17,5310.0,1,Cucumber,CropDevStage,0.7,2
2012-04-03,995.31,0.26,3.54,2.4,7.01,73.88,15.16,15.77,13.75,6072.0,53,Grain,LateSeasonStage,0.65,2
2012-04-04,993.84,0.25,3.33,0.1,6.78,79.83,15.98,16.76,24.88,5739.0,1,Carrot,InitialStage,0.45,1
2012-04-05,993.94,0.27,2.4,10.1,8.51,87.38,15.06,16.01,65.25,4389.0,1,Barley,LateSeasonStage,0.45,0
2012-04-06,995.62,0.31,2.75,0.2,7.41,86.46,14.37,15.74,51.5,5207.0,3,Cotton,InitialStage,0.45,1
2012-04-07,992.28,0.36,1.11,16.1,9.83,84.58,12.91,13.41,74.0,1582.0,1,Cotton,CropDevStage,0.75,0
2012-04-08,987.14,0.4,2.37,16.8,12.12,79.62,11.09,12.9,73.17,4792.0,51,Lentil,InitialStage,0.45,0
2012-04-09,993.49,0.39,3.36,0.5,8.8,54.33,9.16,11.54,3.67,6590.0,51,Barley,InitialStage,0.35,1
2012-04-10,997.64,0.37,3.5,0.1,7.96,63.96,10.25,11.99,15.54,6691.0,0,Cabbage,MidSeasonStage,1.05,3
2012-04-11,991.81,0.39,1.5,10.0,14.07,79.67,12.43,12.48,69.54,2685.0,2,Eggplant,InitialStage,0.45,0
2012-04-12,992.94,0.38,2.6,0.1,8.45,74.92,12.7,13.7,61.0,4725.0,2,Lettuce,CropDevStage,0.6,2
2012-04-13,981.84,0.41,0.88,22.8,12.33,86.12,11.73,12.12,95.04,1270.0,3,Cotton,MidSeasonStage,1.15,0
2012-04-14,976.71,0.42,1.31,9.9,19.32,86.04,12.09,12.45,89.46,2414.0,51,Barley,LateSeasonStage,0.45,0
2012-04-15,985.66,0.42,2.31,12.7,12.6,80.21,12.01,12.93,67.21,4578.0,51,Lettuce,MidSeasonStage,1.0,0
2012-04-16,986.92,0.42,1.92,10.4,7.28,84.83,12.12,13.19,99.33,3591.0,53,Cotton,LateSeasonStage,0.75,0
2012-04-17,989.72,0.42,1.53,10.2,4.94,80.75,11.6,12.61,81.25,2676.0,51,Cotton,CropDevStage,0.75,0
2012-04-18,987.95,0.4,2.84,1.5,12.79,78.08,12.17,12.98,54.58,5569.0,1,Grain,LateSeasonStage,0.65,2
2012-04-19,986.79,0.42,2.72,19.9,12.98,82.46,12.57,13.9,95.58,5119.0,61,Lentil,LateSeasonStage,0.5,0
2012-04-20,988.84,0.42,2.52,17.6,12.64,80.67,12.1,13.6,65.88,5162.0,53,Cotton,InitialStage,0.45,0
2012-04-21,998.14,0.4,2.98,2.7,12.92,77.96,13.28,14.3,53.04,5695.0,51,Grain,CropDevStage,0.75,1
2012-04-22,1000.29,0.4,2.48,15.7,14.86,83.96,14.51,15.15,64.12,4802.0,51,Cabbage,LateSeasonStage,0.9,0
2012-04-23,998.19,0.4,2.17,17.3,10.58,86.12,14.05,15.07,72.21,4345.0,2,Cabbage,MidSeasonStage,1.05,0
2012-04-24,995.0,0.4,3.15,3.0,11.66,84.75,14.22,15.48,56.96,6119.0,51,Cotton,InitialStage,0.45,0
2012-04-25,1000.93,0.39,3.48,0.7,9.33,73.83,13.34,14.83,36.83,6573.0,53,Barley,CropDevStage,0.75,2
2012-04-26,1005.3,0.37,3.95,0.0,4.99,75.96,13.22,14.25,20.79,7158.0,0,Barley,InitialStage,0.35,1
2012-04-27,1004.08,0.36,4.43,0.0,5.62,75.88,15.69,15.79,0.0,7240.0,0,Bean,LateSeasonStage,0.9,3
2012-04-28,1002.35,0.35,4.55,0.0,3.66,81.21,17.55,17.56,6.96,7199.0,0,Lentil,InitialStage,0.45,2
2012-04-29,1003.44,0.34,4.31,0.0,5.86,79.21,17.62,18.59,36.88,7022.0,0,Carrot,MidSeasonStage,1.05,3
2012-04-30,1001.4,0.33,3.04,0.0,4.94,76.62,18.13,18.11,37.75,4505.0,3,Cotton,LateSeasonStage,0.75,2
2012-05-01,1000.45,0.32,3.62,0.0,6.15,79.42,17.54,17.45,24.92,5844.0,1,Barley,InitialStage,0.35,1
2012-05-02,1000.65,0.32,4.06,0.0,6.77,85.96,16.16,17.53,1.12,7247.0,0,Cabbage,CropDevStage,0.75,3
2012-05-03,997.84,0.31,3.61,0.0,6.0,82.12,15.05,16.67,33.54,6353.0,0,Cucumber,LateSeasonStage,0.75,2
2012-05-04,997.71,0.3,3.76,0.0,7.01,76.0,15.18,16.48,25.0,6827.0,1,Cucumber,InitialStage,0.45,2
2012-05-05,999.4,0.3,2.8,0.7,8.9,83.46,15.5,16.39,68.25,4986.0,1,Bean,InitialStage,0.35,1
2012-05-06,1001.06,0.31,2.17,5.0,6.71,86.83,16.18,16.52,72.17,3743.0,2,Lentil,MidSeasonStage,1.1,0
2012-05-07,1001.9,0.34,2.7,5.8,10.04,84.33,15.74,16.61,55.04,5142.0,53,Carrot,InitialStage,0.45,0
2012-05-08,1003.67,0.33,3.4,0.8,4.36,83.58,16.1,17.15,36.75,6013.0,1,Lettuce,InitialStage,0.45,2
2012-05-09,1004.71,0.32,3.63,0.0,4.46,86.88,16.79,17.42,44.21,6111.0,1,Carrot,LateSeasonStage,0.9,3
2012-05-10,1007.16,0.3,4.36,0.0,5.09,83.96,18.1,18.48,8.0,6837.0,0,Cucumber,CropDevStage,0.7,3
2012-05-11,1007.77,0.29,5.15,0.0,6.55,70.79,19.19,19.47,0.67,7544.0,0,Grain,CropDevStage,0.75,3
2012-05-12,1004.85,0.28,4.64,0.0,5.21,79.75,18.7,19.63,3.92,7458.0,0,Barley,MidSeasonStage,1.15,3
2012-05-13,997.9,0.27,3.86,0.2,7.63,87.0,18.3,19.64,52.67,6460.0,3,Eggplant,MidSeasonStage,1.15,3
2012-05-14,993.24,0.3,2.6,5.8,12.52,66.71,14.46,16.53,70.25,3981.0,51,Eggplant,MidSeasonStage,1.15,0
2012-05-15,995.83,0.3,3.53,0.0,8.82,67.75,14.43,16.18,37.83,5826.0,2,Carrot,InitialStage,0.45,2
2012-05-16,995.15,0.29,3.16,3.2,11.64,72.79,15.29,16.46,50.25,5257.0,0,Lettuce,LateSeasonStage,0.9,1
2012-05-17,999.39,0.29,3.8,0.0,8.98,56.33,13.97,15.25,19.42,6128.0,0,Cabbage,CropDevStage,0.75,2
2012-05-18,1001.02,0.28,4.76,0.0,7.67,58.96,14.62,16.34,14.21,7812.0,0,Lettuce,CropDevStage,0.6,2
2012-05-19,1000.62,0.26,4.69,0.0,4.3,71.08,16.64,17.45,3.5,7659.0,0,Lettuce,InitialStage,0.45,2
2012-05-20,996.42,0.25,3.4,0.0,5.18,73.54,18.42,18.41,51.42,5162.0,1,Eggplant,MidSeasonStage,1.15,3
2012-05-21,991.49,0.26,2.66,9.8,11.16,79.79,16.77,18.07,62.46,4369.0,2,Eggplant,CropDevStage,0.75,0
2012-05-22,994.33,0.39,1.99,18.0,9.58,88.58,13.79,15.77,82.0,4013.0,61,Cotton,MidSeasonStage,1.15,0
2012-05-23,997.63,0.36,3.6,0.2,5.89,81.62,15.52,16.82,44.75,6308.0,2,Eggplant,InitialStage,0.45,2
2012-05-24,998.74,0.34,4.0,0.0,4.76,81.79,18.1,18.5,33.08,6286.0,2,Cucumber,LateSeasonStage,0.75,3
2012-05-25,999.3,0.33,4.23,2.6,2.88,86.54,18.82,19.21,19.17,6804.0,0,Bean,CropDevStage,0.7,1
2012-05-26,1000.32,0.32,3.71,4.3,5.94,84.29,17.75,19.18,44.83,6045.0,2,Barley,InitialStage,0.35,0
2012-05-27,1000.52,0.31,4.39,0.0,7.14,74.0,17.5,18.83,14.54,6976.0,0,Carrot,LateSeasonStage,0.9,3
2012-05-28,999.94,0.32,2.23,4.2,4.63,84.21,15.89,16.68,56.92,3862.0,1,Cabbage,InitialStage,0.45,0
2012-05-29,999.16,0.33,4.18,0.1,6.18,85.17,15.75,17.58,33.67,7310.0,3,Lentil,MidSeasonStage,1.1,3
2012-05-30,1002.71,0.31,4.05,2.4,4.91,85.71,18.29,18.98,25.38,6651.0,0,Cabbage,InitialStage,0.45,1
2012-05-31,1004.51,0.3,3.82,0.0,5.28,85.83,18.7,19.82,46.46,6269.0,1,Cabbage,LateSeasonStage,0.9,3
2012-06-01,1002.75,0.29,4.21,0.0,6.7,81.17,18.82,20.12,40.54,6990.0,1,Lentil,MidSeasonStage,1.1,3
2012-06-02,1003.0,0.27,4.06,0.0,5.69,82.17,19.21,20.05,27.62,6572.0,2,Lettuce,MidSeasonStage,1.0,3
2012-06-03,1002.56,0.26,5.03,0.0,4.64,76.96,19.97,20.44,15.04,7846.0,0,Lentil,InitialStage,0.45,2
2012-06-04,997.51,0.27,3.19,5.4,9.59,83.0,18.68,19.34,49.54,5126.0,0,Cucumber,MidSeasonStage,0.9,0
2012-06-05,997.28,0.3,4.46,0.0,5.36,76.58,18.93,20.33,36.71,7170.0,2,Eggplant,InitialStage,0.45,2
2012-06-06,1000.1,0.28,4.28,0.0,5.59,79.58,19.4,20.48,22.96,6862.0,0,Cotton,InitialStage,0.45,2
2012-06-07,1000.18,0.27,4.86,0.0,4.97,76.67,19.32,20.36,21.46,7764.0,0,Lettuce,LateSeasonStage,0.9,3
2012-06-08,999.96,0.25,5.46,0.0,5.25,68.71,21.13,21.35,4.88,7946.0,0,Barley,InitialStage,0.35,2
2012-06-09,999.75,0.24,4.73,0.0,6.02,71.21,21.85,22.17,25.75,6944.0,0,Grain,CropDevStage,0.75,3
2012-06-10,998.17,0.23,4.55,0.0,8.61,79.21,20.4,22.09,42.62,7250.0,2,Cotton,CropDevStage,0.75,3
2012-06-11,995.84,0.22,4.12,0.0,10.98,79.08,20.57,22.12,35.38,6653.0,1,Cucumber,MidSeasonStage,0.9,3
2012-06-12,993.94,0.21,4.45,0.2,12.85,77.71,21.28,22.57,18.79,6791.0,0,Cabbage,CropDevStage,0.75,3
2012-06-13,999.83,0.21,4.25,0.0,11.55,71.33,19.37,21.46,32.79,6703.0,0,Grain,CropDevStage,0.75,3
2012-06-14,1003.24,0.2,5.08,0.0,6.05,69.79,19.58,21.39,15.58,8070.0,0,Lentil,CropDevStage,0.75,3
2012-06-15,1004.56,0.19,5.46,0.0,5.68,73.04,21.05,21.97,1.58,8130.0,1,Lentil,MidSeasonStage,1.1,3
2012-06-16,1004.08,0.19,5.69,0.0,5.02,69.75,23.34,23.08,0.0,8100.0,0,Barley,LateSeasonStage,0.45,2
2012-06-17,1002.59,0.18,5.65,0.0,4.16,72.58,23.96,24.03,0.38,8020.0,0,Lettuce,MidSeasonStage,1.0,3
2012-06-18,1001.25,0.17,5.6,0.0,4.92,73.12,24.33,24.8,1.46,7789.0,0,Lettuce,CropDevStage,0.6,3
2012-06-19,1000.56,0.17,5.69,0.0,5.15,69.96,24.7,25.23,3.0,7881.0,0,Lettuce,InitialStage,0.45,2
2012-06-20,999.28,0.16,5.5,0.0,4.76,73.88,24.23,25.35,0.92,7790.0,0,Cucumber,CropDevStage,0.7,3
2012-06-21,997.29,0.16,5.74,0.0,5.98,70.33,24.23,25.48,1.96,7991.0,0,Lentil,CropDevStage,0.75,3
2012-06-22,999.28,0.16,5.33,0.0,5.42,78.79,24.27,25.58,9.96,7537.0,0,Barley,CropDevStage,0.75,3
2012-06-23,1002.74,0.15,5.33,0.0,5.8,80.5,24.26,25.85,1.21,7763.0,0,Grain,MidSeasonStage,1.1,3
2012-06-24,1001.75,0.15,5.39,0.0,5.25,77.75,24.21,25.66,4.12,7721.0,0,Grain,LateSeasonStage,0.65,3
2012-06-25,999.15,0.15,5.34,0.0,6.88,76.12,23.67,25.05,11.79,7950.0,0,Grain,CropDevStage,0.75,3
2012-06-26,999.55,0.15,5.04,0.0,5.3,75.96,23.73,25.65,21.25,7124.0,1,Grain,LateSeasonStage,0.65,3
2012-06-27,1001.29,0.15,5.68,0.0,7.81,62.17,26.05,27.16,17.0,7017.0,1,Bean,CropDevStage,0.7,3
2012-06-28,1000.24,0.14,5.53,0.0,6.73,67.54,25.46,27.3,8.71,7231.0,0,Carrot,MidSeasonStage,1.05,3
2012-06-29,1000.48,0.14,5.35,0.0,5.84,75.38,25.35,27.24,4.25,7445.0,0,Eggplant,CropDevStage,0.75,3
2012-06-30,1000.97,0.14,5.59,0.0,6.23,74.12,25.87,27.53,4.88,7524.0,0,Cabbage,LateSeasonStage,0.9,3
2012-07-01,999.65,0.14,5.52,0.4,5.31,74.21,26.45,27.68,4.54,7425.0,0,Barley,LateSeasonStage,0.45,2
2012-07-02,1000.36,0.14,5.66,0.0,5.85,76.12,26.4,27.82,1.46,7736.0,0,Lettuce,MidSeasonStage,1.0,3
2012-07-03,1000.05,0.14,4.97,0.0,6.3,76.42,25.04,27.33,23.0,7016.0,1,Lentil,MidSeasonStage,1.1,3
2012-07-04,997.76,0.14,5.55,0.0,4.91,70.88,24.35,26.66,11.79,7909.0,0,Grain,CropDevStage,0.75,3
2012-07-05,996.71,0.14,5.62,0.0,4.42,68.21,24.48,26.3,1.58,7990.0,0,Cabbage,LateSeasonStage,0.9,3
2012-07-06,997.48,0.14,5.37,0.0,6.05,70.79,24.36,26.25,3.25,7718.0,0,Barley,LateSeasonStage,0.45,2
2012-07-07,999.05,0.14,5.32,0.0,6.86,75.5,24.57,26.46,9.54,7693.0,0,Eggplant,LateSeasonStage,0.8,3
2012-07-08,998.92,0.14,5.69,0.0,5.45,73.54,25.31,27.02,5.17,7861.0,0,Cabbage,CropDevStage,0.75,3
2012-07-09,998.18,0.14,5.77,0.0,5.67,69.08,25.81,27.2,5.21,7867.0,0,Barley,CropDevStage,0.75,3
2012-07-10,998.88,0.14,5.65,0.0,6.26,71.42,25.66,27.32,2.17,7803.0,0,Barley,CropDevStage,0.75,3
2012-07-11,1000.6,0.14,5.54,0.0,5.67,74.25,25.55,27.26,3.29,7719.0,0,Barley,CropDevStage,0.75,3
2012-07-12,999.49,0.14,4.94,0.0,6.29,77.38,25.39,27.29,5.92,7001.0,0,Carrot,CropDevStage,0.75,3
2012-07-13,998.37,0.14,5.36,0.0,9.37,73.58,24.76,27.12,20.17,7523.0,1,Bean,InitialStage,0.35,2
2012-07-14,998.61,0.14,5.55,0.0,6.49,71.58,25.25,27.39,0.71,7763.0,0,Bean,InitialStage,0.35,2
2012-07-15,998.25,0.14,5.63,0.0,9.71,72.25,25.21,27.6,1.58,7721.0,0,Lentil,CropDevStage,0.75,3
2012-07-16,1002.1,0.14,5.24,0.0,7.48,64.62,24.75,27.7,22.29,6871.0,1,Eggplant,CropDevStage,0.75,3
